# English display phrase<TAB>Simplified Chinese. Longest matching phrase wins.
System Settings	系统设置
System	系统
Core	核心
Misc. Options	其他选项
Video Processing	视频处理
Video processing	视频处理
Audio & Video	音频与视频
Information	信息
Main Menu	主菜单
None	无
Off	关闭
Blank+	消隐+
Blank	消隐
AUTOFIRE OFF	关闭连发
AUTOFIRE FAST	快速连发
AUTOFIRE MEDIUM	中速连发
AUTOFIRE SLOW	慢速连发
Digital	数字
Analog	模拟
Fast	快速
Medium	中速
Slow	慢速
A only	仅 A
B only	仅 B
A: and B:	A: 和 B:
Right	右
Left	左
Down	下
Up	上
Button A	按键 A
Button B	按键 B
Button X	按键 X
Button Y	按键 Y
Button L	按键 L
Button R	按键 R
Select	选择
Start	开始
KBD TOGGLE	切换键盘
Menu	菜单
Stick 1: Tilt RIGHT	摇杆1：向右推
Stick 1: Tilt DOWN	摇杆1：向下推
Mouse emu X: Tilt RIGHT	鼠标横轴：向右推
Mouse emu Y: Tilt DOWN	鼠标纵轴：向下推
DPAD test: Press RIGHT	方向键测试：按右
DPAD test: Press DOWN	方向键测试：按下
Stick 1 Test: Tilt RIGHT	摇杆1测试：向右推
Stick 1 Test: Tilt DOWN	摇杆1测试：向下推
Stick 2 Test: Tilt RIGHT	摇杆2测试：向右推
Stick 2 Test: Tilt DOWN	摇杆2测试：向下推
Console	控制台
Modem	调制解调器
Local	本地
Internal	内部
Custom	自定义
1x Rotated	1倍旋转
2x Rotated	2倍旋转
Normal	正常
V-Integer	纵向整数缩放
HV-Integer-	整数缩放（小）
HV-Integer+	整数缩放（大）
HV-Integer	横纵整数缩放
Welcome to MiSTer! Use the cursor keys to navigate the menus. Use space bar or enter to select an item. Press Esc or F12 to exit the menus. Joystick emulation on the numeric keypad can be toggled with the numlock or scrlock key, while pressing Ctrl-Alt-0 (numeric keypad) toggles autofire mode.	欢迎使用 MiSTer！用方向键浏览，空格或回车选择，Esc 或 F12 退出。NumLock 或 ScrollLock 切换小键盘摇杆模拟；Ctrl+Alt+小键盘0 切换连发。
Minimig can emulate an A600/A1200 IDE harddisk interface. The emulation can make use of Minimig-style hardfiles (complete disk images) or UAE-style hardfiles (filesystem images with no partition table).	Minimig 可模拟 A600/A1200 的 IDE 硬盘接口，支持 Minimig 完整磁盘镜像和 UAE 无分区表的文件系统镜像。
Minimig's processor core can emulate a 68000 (cycle accuracy as A500/A600) or 68020 (maximum performance) processor with transparent cache.	Minimig 可模拟 68000（A500/A600 周期精确）或 68020（高性能）处理器，并提供透明缓存。
Minimig can make use of up to 2 megabytes of Chip RAM, up to 1.5 megabytes of Slow RAM (A500 Trapdoor RAM), and up to 384 megabytes of Fast RAM (8MB max for 68000 mode). To use the HRTmon feature you will need a file on the SD card named hrtmon.rom.	Minimig 支持最多2MB芯片内存、1.5MB慢速内存及384MB快速内存（68000模式最多8MB）。使用 HRTmon 需要 SD 卡上的 hrtmon.rom 文件。
Backspace key (or B-hold + A on gamepad) to unmount	按退格键，或手柄按住B再按A，卸载镜像。
Backspace key (or B-hold + A on gamepad) to clear stored option. You have to reload the core to be able to use default value.	按退格键，或手柄按住B再按A，清除已存选项。重新加载核心后使用默认值。
Scripts	脚本
exit	退出
back	返回
SPACE to exit	空格退出
Ctrl+ESC to exit	Ctrl+Esc 退出
No network	未连接网络
ETA	剩余时间
Not charging	未充电
If you see this, then you	如果看到此提示，请
need to modify MiSTer.ini	修改 MiSTer.ini
Either disable framebuffer	可关闭帧缓冲
or enable scaler on VGA	或启用 VGA 缩放器
Original	原始
Full Screen	全屏
